"Tissue",".y.","group1","group2","n1","n2","statistic","p","p.signif"
"Skin Fibroblast","EAA","Control","HGPS",6,9,39,0.181,"ns"
"Whole Blood","EAA","Control","HGPS",12,8,31,0.208,"ns"
