"Tissue",".y.","group1","group2","n1","n2","statistic","p","p.signif"
"Skin Fibroblast","EAA_resid","Control","HGPS",6,9,43,0.0663,"ns"
"Whole Blood","EAA_resid","Control","HGPS",12,8,36,0.384,"ns"
